timestamp,light1,light2,light3,error1,error2,error3,left,right
1762808176.351,59,38,56,-24.000,-3.000,-21.000,-5.72,65.72
1762808176.404,59,38,56,-24.000,-3.000,-21.000,1.20,58.80
1762808176.449,58,17,54,-23.000,18.000,-19.000,20.14,39.86
1762808176.491,59,10,55,-24.000,25.000,-20.000,-17.79,77.79
1762808176.528,58,8,54,-23.000,27.000,-19.000,24.07,35.93
1762808176.570,58,15,54,-23.000,20.000,-19.000,2.40,57.60
1762808176.621,59,37,57,-24.000,-2.000,-22.000,-14.38,74.38
1762808176.665,59,52,57,-24.000,-17.000,-22.000,1.20,58.80
1762808176.704,59,56,24,-24.000,-21.000,11.000,1.20,58.80
1762808176.740,59,56,8,-24.000,-21.000,27.000,1.20,58.80
1762808176.775,60,56,8,-25.000,-21.000,27.000,-22.75,82.75
1762808176.812,60,56,19,-25.000,-21.000,16.000,0.00,60.00
1762808176.850,59,56,50,-24.000,-21.000,-15.000,22.43,37.57
1762808176.889,59,56,57,-24.000,-21.000,-22.000,1.20,58.80
1762808176.927,59,57,58,-24.000,-22.000,-23.000,1.20,58.80
1762808176.966,59,56,58,-24.000,-21.000,-23.000,1.20,58.80
1762808177.003,59,56,55,-24.000,-21.000,-20.000,1.20,58.80
1762808177.038,58,55,55,-23.000,-20.000,-20.000,25.06,34.94
1762808177.074,59,55,56,-24.000,-20.000,-21.000,-21.40,81.40
1762808177.112,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808177.154,58,55,55,-23.000,-20.000,-20.000,21.48,38.52
1762808177.190,58,56,55,-23.000,-21.000,-20.000,2.40,57.60
1762808177.238,59,57,58,-24.000,-22.000,-23.000,-15.64,75.64
1762808177.274,58,56,56,-23.000,-21.000,-21.000,24.72,35.28
1762808177.320,58,56,57,-23.000,-21.000,-22.000,2.40,57.60
1762808177.359,59,56,58,-24.000,-21.000,-23.000,-19.21,79.21
1762808177.400,58,56,56,-23.000,-21.000,-21.000,22.20,37.80
1762808177.440,58,54,54,-23.000,-19.000,-19.000,2.40,57.60
1762808177.478,59,56,55,-24.000,-21.000,-20.000,-19.74,79.74
1762808177.517,58,55,54,-23.000,-20.000,-19.000,22.85,37.15
1762808177.551,58,54,54,-23.000,-19.000,-19.000,2.40,57.60
1762808177.594,58,55,54,-23.000,-20.000,-19.000,2.40,57.60
1762808177.634,58,55,55,-23.000,-20.000,-20.000,2.40,57.60
1762808177.671,59,55,54,-24.000,-20.000,-19.000,-20.32,80.32
1762808177.708,59,56,55,-24.000,-21.000,-20.000,1.20,58.80
1762808177.746,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808177.783,59,57,57,-24.000,-22.000,-22.000,1.20,58.80
1762808177.823,58,55,56,-23.000,-20.000,-21.000,22.42,37.58
1762808177.861,59,56,57,-24.000,-21.000,-22.000,-19.69,79.69
1762808177.899,60,56,58,-25.000,-21.000,-23.000,-21.02,81.02
1762808177.937,59,57,57,-24.000,-22.000,-22.000,22.41,37.59
1762808177.983,59,57,57,-24.000,-22.000,-22.000,1.20,58.80
1762808178.023,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808178.062,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808178.102,59,56,55,-24.000,-21.000,-20.000,1.20,58.80
1762808178.156,58,56,55,-23.000,-21.000,-20.000,17.20,42.80
1762808178.212,59,56,56,-24.000,-21.000,-21.000,-13.17,73.17
1762808178.250,58,55,55,-23.000,-20.000,-20.000,23.32,36.68
1762808178.292,57,53,52,-22.000,-18.000,-17.000,22.62,37.38
1762808178.331,58,55,55,-23.000,-20.000,-20.000,-18.11,78.11
1762808178.368,57,55,54,-22.000,-20.000,-19.000,25.38,34.62
1762808178.412,58,55,55,-23.000,-20.000,-20.000,-15.74,75.74
1762808178.452,58,55,55,-23.000,-20.000,-20.000,2.40,57.60
1762808178.490,58,55,55,-23.000,-20.000,-20.000,2.40,57.60
1762808178.528,58,56,56,-23.000,-21.000,-21.000,2.40,57.60
1762808178.566,59,56,56,-24.000,-21.000,-21.000,-19.54,79.54
1762808178.606,59,56,57,-24.000,-21.000,-22.000,1.20,58.80
1762808178.642,59,57,57,-24.000,-22.000,-22.000,1.20,58.80
1762808178.676,60,57,57,-25.000,-22.000,-22.000,-23.15,83.15
1762808178.712,59,56,57,-24.000,-21.000,-22.000,23.35,36.65
1762808178.749,58,56,57,-23.000,-21.000,-22.000,24.07,35.93
1762808178.790,59,57,56,-24.000,-22.000,-21.000,-18.41,78.41
1762808178.832,60,57,58,-25.000,-22.000,-23.000,-19.17,79.17
1762808178.869,59,56,56,-24.000,-21.000,-21.000,22.53,37.47
1762808178.906,58,57,56,-23.000,-22.000,-21.000,23.90,36.10
1762808178.944,59,57,57,-24.000,-22.000,-22.000,-20.00,80.00
1762808178.979,59,57,57,-24.000,-22.000,-22.000,1.20,58.80
1762808179.016,59,56,58,-24.000,-21.000,-23.000,1.20,58.80
1762808179.052,58,55,55,-23.000,-20.000,-20.000,24.39,35.61
1762808179.096,60,57,57,-25.000,-22.000,-22.000,-36.55,96.55
1762808179.136,58,56,54,-23.000,-21.000,-19.000,42.25,17.75
1762808179.174,60,57,59,-25.000,-22.000,-24.000,-41.79,100.00
1762808179.216,60,56,60,-25.000,-21.000,-25.000,0.00,60.00
1762808179.252,60,55,59,-25.000,-20.000,-24.000,0.00,60.00
1762808179.292,59,56,60,-24.000,-21.000,-25.000,21.28,38.72
1762808179.328,59,56,59,-24.000,-21.000,-24.000,1.20,58.80
1762808179.366,60,57,58,-25.000,-22.000,-23.000,-20.95,80.95
1762808179.405,59,57,58,-24.000,-22.000,-23.000,21.65,38.35
1762808179.445,58,55,54,-23.000,-20.000,-19.000,22.54,37.46
1762808179.479,59,56,55,-24.000,-21.000,-20.000,-22.18,82.18
1762808179.522,58,55,55,-23.000,-20.000,-20.000,21.40,38.60
1762808179.561,58,55,56,-23.000,-20.000,-21.000,2.40,57.60
1762808179.600,59,56,56,-24.000,-21.000,-21.000,-19.47,79.47
1762808179.640,58,55,54,-23.000,-20.000,-19.000,22.17,37.83
1762808179.677,58,55,53,-23.000,-20.000,-18.000,2.40,57.60
1762808179.717,59,56,56,-24.000,-21.000,-21.000,-18.80,78.80
1762808179.752,58,56,55,-23.000,-21.000,-20.000,25.65,34.35
1762808179.792,58,56,55,-23.000,-21.000,-20.000,2.40,57.60
1762808179.832,58,57,57,-23.000,-22.000,-22.000,2.40,57.60
1762808179.875,57,56,58,-22.000,-21.000,-23.000,22.27,37.73
1762808179.924,28,56,58,7.000,-21.000,-23.000,100.00,-100.00
1762808179.966,12,56,58,23.000,-21.000,-23.000,100.00,-100.00
1762808180.003,9,56,58,26.000,-21.000,-23.000,100.00,-66.42
1762808180.056,7,55,60,28.000,-20.000,-25.000,93.61,-33.61
1762808180.102,59,56,60,-24.000,-21.000,-25.000,-100.00,100.00
1762808180.137,59,56,60,-24.000,-21.000,-25.000,1.20,58.80
1762808180.179,58,57,60,-23.000,-22.000,-25.000,21.40,38.60
1762808180.230,58,54,55,-23.000,-19.000,-20.000,2.40,57.60
1762808180.285,57,54,53,-22.000,-19.000,-18.000,18.09,41.91
1762808180.322,56,53,52,-21.000,-18.000,-17.000,26.35,33.65
1762808180.356,55,52,52,-20.000,-17.000,-17.000,29.31,30.69
1762808180.392,54,51,51,-19.000,-16.000,-16.000,29.78,30.22
1762808180.428,55,52,51,-20.000,-17.000,-16.000,-16.13,76.13
1762808180.462,56,53,53,-21.000,-18.000,-18.000,-18.91,78.91
1762808180.500,56,51,50,-21.000,-16.000,-15.000,4.80,55.20
1762808180.535,58,54,51,-23.000,-19.000,-16.000,-43.42,100.00
1762808180.570,59,55,54,-24.000,-20.000,-19.000,-21.42,81.42
1762808180.616,59,55,54,-24.000,-20.000,-19.000,1.20,58.80
1762808180.654,58,53,53,-23.000,-18.000,-18.000,23.38,36.62
1762808180.690,57,53,52,-22.000,-18.000,-17.000,26.11,33.89
1762808180.727,56,51,51,-21.000,-16.000,-16.000,26.39,33.61
1762808180.766,53,49,50,-18.000,-14.000,-15.000,70.31,-10.31
1762808180.799,52,49,46,-17.000,-14.000,-11.000,33.32,26.68
1762808180.846,53,51,51,-18.000,-16.000,-16.000,-8.63,68.63
1762808180.889,55,52,51,-20.000,-17.000,-16.000,-31.27,91.27
1762808180.927,58,55,51,-23.000,-20.000,-16.000,-61.01,100.00
1762808180.966,58,55,57,-23.000,-20.000,-22.000,2.40,57.60
1762808181.001,60,57,56,-25.000,-22.000,-21.000,-45.35,100.00
1762808181.039,55,56,58,-20.000,-21.000,-23.000,100.00,-51.85
1762808181.088,30,57,58,5.000,-22.000,-23.000,100.00,-100.00
1762808181.129,15,55,56,20.000,-20.000,-21.000,100.00,-100.00
1762808181.178,51,57,58,-16.000,-22.000,-23.000,-100.00,100.00
1762808181.223,58,56,59,-23.000,-21.000,-24.000,-100.00,100.00
1762808181.258,59,57,60,-24.000,-22.000,-25.000,-21.86,81.86
1762808181.297,58,56,60,-23.000,-21.000,-25.000,22.75,37.25
1762808181.358,56,54,52,-21.000,-19.000,-17.000,30.99,29.01
1762808181.435,54,54,51,-19.000,-19.000,-16.000,27.96,32.04
1762808181.499,57,54,51,-22.000,-19.000,-16.000,-34.11,94.11
1762808181.576,58,54,50,-23.000,-19.000,-15.000,-7.98,67.98
1762808181.666,38,56,53,-3.000,-21.000,-18.000,100.00,-100.00
1762808181.721,6,55,53,29.000,-20.000,-18.000,100.00,-100.00
1762808181.762,8,55,55,27.000,-20.000,-20.000,22.99,37.01
1762808181.808,12,57,54,23.000,-22.000,-19.000,-12.65,72.65
1762808181.852,50,56,56,-15.000,-21.000,-21.000,-100.00,100.00
1762808181.896,37,57,54,-2.000,-22.000,-19.000,100.00,-100.00
1762808181.938,7,57,55,28.000,-22.000,-20.000,100.00,-100.00
1762808181.988,8,55,55,27.000,-20.000,-20.000,46.58,13.42
1762808182.030,6,55,56,29.000,-20.000,-21.000,100.00,-43.16
1762808182.072,22,56,55,13.000,-21.000,-20.000,-100.00,100.00
1762808182.118,42,55,51,-7.000,-20.000,-16.000,-100.00,100.00
1762808182.158,56,55,58,-21.000,-20.000,-23.000,-100.00,100.00
1762808182.210,30,56,54,5.000,-21.000,-19.000,100.00,-100.00
1762808182.246,5,55,56,30.000,-20.000,-21.000,100.00,-100.00
1762808182.289,8,55,57,27.000,-20.000,-22.000,5.83,54.17
1762808182.339,7,55,58,28.000,-20.000,-23.000,79.58,-19.58
1762808182.386,8,56,59,27.000,-21.000,-24.000,45.31,14.69
1762808182.430,5,56,58,30.000,-21.000,-23.000,100.00,-59.99
1762808182.472,7,53,58,28.000,-18.000,-23.000,25.69,34.31
1762808182.524,18,53,58,17.000,-18.000,-23.000,-100.00,100.00
1762808182.568,55,53,59,-20.000,-18.000,-24.000,-100.00,100.00
1762808182.622,25,38,19,10.000,-3.000,16.000,100.00,-100.00
1762808182.673,6,42,17,29.000,-7.000,18.000,100.00,-100.00
1762808182.710,8,41,18,27.000,-6.000,17.000,19.73,40.27
1762808182.749,9,33,12,26.000,2.000,23.000,40.68,19.32
1762808182.788,8,36,13,27.000,-1.000,22.000,83.33,-23.33
1762808182.829,8,38,14,27.000,-3.000,21.000,62.40,-2.40
1762808182.869,8,40,16,27.000,-5.000,19.000,62.40,-2.40
1762808182.906,8,41,18,27.000,-6.000,17.000,62.40,-2.40
1762808182.940,8,43,19,27.000,-8.000,16.000,62.40,-2.40
1762808182.975,8,44,21,27.000,-9.000,14.000,62.40,-2.40
1762808183.012,8,45,22,27.000,-10.000,13.000,62.40,-2.40
1762808183.050,8,45,21,27.000,-10.000,14.000,62.40,-2.40
1762808183.088,8,42,20,27.000,-7.000,15.000,62.40,-2.40
1762808183.125,8,39,17,27.000,-4.000,18.000,62.40,-2.40
1762808183.159,8,39,17,27.000,-4.000,18.000,62.40,-2.40
1762808183.200,8,42,18,27.000,-7.000,17.000,62.40,-2.40
1762808183.239,8,46,22,27.000,-11.000,13.000,62.40,-2.40
1762808183.280,8,37,17,27.000,-2.000,18.000,62.40,-2.40
1762808183.332,6,36,31,29.000,-1.000,4.000,95.64,-35.64
1762808183.380,6,50,53,29.000,-15.000,-18.000,64.80,-4.80
1762808183.430,4,25,28,31.000,10.000,7.000,98.96,-38.96
1762808183.473,7,13,19,28.000,22.000,16.000,7.39,52.61
1762808183.516,7,6,12,28.000,29.000,23.000,63.60,-3.60
1762808183.549,7,4,10,28.000,31.000,25.000,63.60,-3.60
1762808183.589,8,3,10,27.000,32.000,25.000,42.31,17.69
1762808183.634,9,5,12,26.000,30.000,23.000,43.54,16.46
1762808183.670,13,5,13,22.000,30.000,22.000,-32.42,92.42
1762808183.712,16,3,17,19.000,32.000,18.000,-4.64,64.64
1762808183.752,20,6,22,15.000,29.000,13.000,-33.09,93.09
1762808183.792,28,14,33,7.000,21.000,2.000,-100.00,100.00
1762808183.829,34,19,39,1.000,16.000,-4.000,-98.01,100.00
1762808183.868,36,16,42,-1.000,19.000,-7.000,-12.63,72.63
1762808183.908,35,9,37,0.000,26.000,-2.000,49.67,10.33
1762808183.947,31,4,34,4.000,31.000,1.000,100.00,-56.94
1762808183.982,29,5,29,6.000,30.000,6.000,83.05,-23.05
1762808184.030,31,7,29,4.000,28.000,6.000,1.39,58.61
1762808184.072,37,14,35,-2.000,21.000,0.000,-86.40,100.00
1762808184.116,54,29,51,-19.000,6.000,-16.000,-100.00,100.00
1762808184.161,46,12,43,-11.000,23.000,-8.000,100.00,-100.00
1762808184.199,36,6,37,-1.000,29.000,-2.000,100.00,-100.00
1762808184.232,33,5,34,2.000,30.000,1.000,100.00,-44.85
1762808184.278,34,16,36,1.000,19.000,-1.000,13.87,46.13
1762808184.336,46,46,45,-11.000,-11.000,-10.000,-100.00,100.00
1762808184.389,57,55,57,-22.000,-20.000,-22.000,-100.00,100.00
1762808184.486,40,43,56,-5.000,-8.000,-21.000,100.00,-100.00
1762808184.527,33,38,55,2.000,-3.000,-20.000,100.00,-100.00
1762808184.575,59,57,59,-24.000,-22.000,-24.000,-100.00,100.00
1762808184.612,57,54,52,-22.000,-19.000,-17.000,46.52,13.48
1762808184.651,59,56,56,-24.000,-21.000,-21.000,-40.22,100.00
1762808184.692,58,56,53,-23.000,-21.000,-18.000,21.88,38.12
1762808184.732,57,54,54,-22.000,-19.000,-19.000,23.78,36.22
1762808184.774,59,56,55,-24.000,-21.000,-20.000,-36.36,96.36
1762808184.814,58,55,55,-23.000,-20.000,-20.000,22.51,37.49
1762808184.855,58,54,55,-23.000,-19.000,-20.000,2.40,57.60
1762808184.892,59,56,56,-24.000,-21.000,-21.000,-20.82,80.82
1762808184.931,58,55,53,-23.000,-20.000,-18.000,22.63,37.37
1762808184.976,58,55,50,-23.000,-20.000,-15.000,2.40,57.60
1762808185.015,58,56,51,-23.000,-21.000,-16.000,2.40,57.60
1762808185.057,59,54,55,-24.000,-19.000,-20.000,-17.90,77.90
1762808185.097,57,53,53,-22.000,-18.000,-18.000,43.57,16.43
1762808185.130,56,53,53,-21.000,-18.000,-18.000,28.81,31.19
1762808185.169,56,54,53,-21.000,-19.000,-18.000,4.80,55.20
1762808185.207,54,52,53,-19.000,-17.000,-18.000,49.18,10.82
1762808185.249,47,45,44,-12.000,-10.000,-9.000,100.00,-88.46
1762808185.288,48,45,43,-13.000,-10.000,-8.000,-6.23,66.23
1762808185.326,47,42,37,-12.000,-7.000,-2.000,36.63,23.37
1762808185.380,27,18,10,8.000,17.000,25.000,100.00,-100.00
1762808185.422,9,7,2,26.000,28.000,33.000,100.00,-100.00
1762808185.466,4,2,2,31.000,33.000,33.000,100.00,-98.32
1762808185.502,3,1,1,32.000,34.000,34.000,90.84,-30.84
1762808185.539,2,1,2,33.000,34.000,33.000,90.83,-30.83
1762808185.576,2,1,2,33.000,34.000,33.000,69.60,-9.60
1762808185.615,3,3,5,32.000,32.000,30.000,47.78,12.22
1762808185.664,8,8,6,27.000,27.000,29.000,-19.49,79.49
1762808185.730,33,39,42,2.000,-4.000,-7.000,-100.00,100.00
1762808185.779,54,49,44,-19.000,-14.000,-9.000,-100.00,100.00
1762808185.818,53,49,45,-18.000,-14.000,-10.000,28.82,31.18
1762808185.868,55,55,59,-20.000,-20.000,-24.000,-26.18,86.18
1762808185.909,55,50,50,-20.000,-15.000,-15.000,6.00,54.00
1762808185.950,59,56,55,-24.000,-21.000,-20.000,-76.97,100.00
1762808185.988,58,55,53,-23.000,-20.000,-18.000,23.28,36.72
1762808186.029,59,56,56,-24.000,-21.000,-21.000,-18.20,78.20
1762808186.068,60,57,58,-25.000,-22.000,-23.000,-20.71,80.71
1762808186.108,60,56,58,-25.000,-21.000,-23.000,0.00,60.00
1762808186.142,59,56,56,-24.000,-21.000,-21.000,24.85,35.15
1762808186.179,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808186.218,58,56,56,-23.000,-21.000,-21.000,23.27,36.73
1762808186.257,57,52,55,-22.000,-17.000,-20.000,23.76,36.24
